City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
104,Abhar,36.1468,49.218,51.48,44,6,6.67,IR,clear sky
105,Poya,-21.35,165.15,83.71,52,94,4.16,NC,overcast clouds
106,Bethel,41.3712,-73.414,55.0,53,1,3.83,US,clear sky
107,Saint George,37.1041,-113.5841,73.0,6,1,11.5,US,clear sky
108,Socorro,31.6546,-106.3033,82.4,5,40,13.8,US,scattered clouds
109,Vaini,-21.2,-175.2,80.6,74,20,10.36,TO,few clouds
110,Bredasdorp,-34.5322,20.0403,60.8,94,10,1.97,ZA,clear sky
111,Chuy,-33.6971,-53.4616,67.12,89,1,7.45,UY,clear sky
112,Libreville,0.3925,9.4537,73.4,100,20,5.75,GA,light rain
113,Luanda,-8.8368,13.2343,77.0,88,75,4.61,AO,light rain
114,Mayachnyy,52.6839,55.685,34.32,86,100,13.24,RU,overcast clouds
115,Walvis Bay,-22.9575,14.5053,57.99,94,0,5.75,NA,clear sky
116,Ponta Delgada,37.7333,-25.6667,57.2,94,20,5.75,PT,few clouds
117,Henties Bay,-22.116,14.2845,57.99,94,0,3.0,NA,clear sky
118,Saldanha,-33.0117,17.9442,55.4,88,99,2.3,ZA,overcast clouds
119,Kungurtug,50.5994,97.5228,30.79,61,28,2.04,RU,scattered clouds
120,Seoul,37.5683,126.9778,60.8,48,0,3.44,KR,clear sky
121,Tuatapere,-46.1333,167.6833,59.0,78,36,11.99,NZ,scattered clouds
122,New Norfolk,-42.7826,147.0587,66.99,47,11,5.99,AU,few clouds
123,Grand Gaube,-20.0064,57.6608,75.0,89,8,5.01,MU,clear sky
124,Guarapari,-20.6667,-40.4975,71.6,94,20,4.61,BR,moderate rain
125,Dikson,73.5069,80.5464,-6.97,99,94,6.42,RU,overcast clouds
126,Maniitsoq,65.4167,-52.9,17.11,88,41,7.0,GL,scattered clouds
127,Olga,43.7444,135.2892,46.02,31,0,10.89,RU,clear sky
128,Makinsk,52.6292,70.4169,31.96,98,100,4.12,KZ,light rain
129,Pisco,-13.7,-76.2167,71.01,78,0,20.71,PE,clear sky
130,Satipo,-11.2522,-74.6386,69.51,95,99,1.86,PE,overcast clouds
131,Puerto Plata,19.7934,-70.6884,71.6,94,90,9.01,DO,overcast clouds
132,Mayo,38.8876,-76.5119,57.99,67,1,3.44,US,clear sky
133,Valparaiso,-33.0393,-71.6273,61.0,88,0,3.44,CL,clear sky
134,Acarau,-2.8856,-40.12,79.63,82,8,12.28,BR,clear sky
135,Bathsheba,13.2167,-59.5167,78.8,65,40,12.66,BB,scattered clouds
136,Pundaguitan,6.3711,126.1689,81.09,76,34,6.31,PH,scattered clouds
137,Londoko,49.0333,131.9833,23.74,47,100,11.36,RU,overcast clouds
138,Ahipara,-35.1667,173.1667,69.21,59,99,8.25,NZ,overcast clouds
139,Changji,44.0167,87.3167,53.6,43,0,6.71,CN,clear sky
140,Yarmouth,41.7057,-70.2286,48.2,66,90,7.25,US,overcast clouds
141,Codrington,-38.2667,141.9667,67.44,51,0,4.92,AU,clear sky
142,Lakatoro,-16.0999,167.4164,84.22,62,83,12.17,VU,broken clouds
143,Adra,36.7496,-3.0206,60.8,88,0,3.44,ES,clear sky
144,Kupang,-10.1667,123.5833,82.04,70,14,2.55,ID,few clouds
145,Tuktoyaktuk,69.4541,-133.0374,-5.8,77,75,9.22,CA,broken clouds
146,Adwa,14.1646,38.8955,63.79,24,14,5.57,ET,few clouds
147,Banjarmasin,-3.3244,114.591,78.78,88,100,3.4,ID,overcast clouds
148,Nishihara,26.1842,127.7558,73.4,53,20,17.27,JP,few clouds
149,Ancud,-41.8697,-73.8203,54.0,88,92,15.01,CL,light rain
150,Saint-Philippe,-21.3585,55.7679,75.2,73,0,4.61,RE,clear sky
151,Forecariah,9.4306,-13.0881,77.67,89,9,1.99,GN,clear sky
152,Hobyo,5.3505,48.5268,79.81,56,99,11.48,SO,overcast clouds
153,Formosa Do Rio Preto,-11.0483,-45.1931,73.67,62,20,0.63,BR,few clouds
154,Longyearbyen,78.2186,15.6401,12.2,73,75,20.71,SJ,light snow
155,Sindor,62.8629,51.8905,31.05,94,81,7.43,RU,broken clouds
156,Marsh Harbour,26.5412,-77.0636,69.17,51,6,6.73,BS,clear sky
157,Morondava,-20.2833,44.2833,71.49,76,0,5.91,MG,clear sky
158,Santa Cruz Cabralia,-16.2781,-39.0247,73.4,88,75,4.61,BR,broken clouds
159,Hithadhoo,-0.6,73.0833,82.45,64,60,8.72,MV,broken clouds
160,Angoche,-16.2325,39.9086,75.0,75,6,8.9,MZ,clear sky
161,Itaituba,-4.2761,-55.9836,74.5,95,100,1.32,BR,overcast clouds
162,Hambantota,6.1241,81.1185,75.2,100,20,3.44,LK,few clouds
163,Constitucion,-35.3333,-72.4167,56.41,86,96,6.38,CL,overcast clouds
164,Provideniya,64.3833,-173.3,12.2,62,0,6.71,RU,clear sky
165,Zhelyabovka,45.3988,34.7578,47.8,87,91,9.08,UA,overcast clouds
166,Naushki,50.3828,106.1056,46.4,44,12,2.57,RU,few clouds
167,Contamana,-7.3333,-75.0167,73.29,98,100,0.94,PE,overcast clouds
168,Sabha,27.0377,14.4283,67.17,34,0,11.03,LY,clear sky
169,Anloga,5.7947,0.8973,77.0,78,20,8.05,GH,few clouds
170,Lattes,43.5675,3.9046,42.8,28,0,11.5,FR,clear sky
171,Estacion Coahuila,32.1939,-115.0017,91.4,7,1,8.05,MX,clear sky
172,Tabory,58.5198,64.5495,25.29,97,42,2.84,RU,scattered clouds
173,Nhulunbuy,-12.2333,136.7667,86.0,54,0,5.75,AU,clear sky
174,Knysna,-34.0363,23.0471,55.4,100,20,4.61,ZA,few clouds
175,Novikovo,51.1537,37.8879,38.43,80,0,7.87,RU,clear sky
176,Nanortalik,60.1432,-45.2371,34.75,98,100,13.56,GL,overcast clouds
177,Dunedin,-45.8742,170.5036,60.01,70,99,14.0,NZ,overcast clouds
178,Dibrugarh,27.4833,94.9,68.0,88,40,4.23,IN,haze
179,Panguna,-6.3164,155.4848,72.68,93,100,3.11,PG,light rain
180,Bilma,18.6853,12.9164,78.78,6,0,3.53,NE,clear sky
181,Nautla,20.2167,-96.7833,75.67,81,100,18.12,MX,overcast clouds
182,Galveston,29.3669,-94.9669,72.0,83,1,17.27,US,clear sky
183,Roma,43.2128,-75.4557,46.0,42,1,1.72,US,clear sky
184,Wajima,37.4,136.9,51.8,54,20,4.61,JP,few clouds
185,Severo-Kurilsk,50.6789,156.125,28.94,68,4,8.21,RU,clear sky
186,Eyl,7.9803,49.8164,75.04,65,92,7.61,SO,overcast clouds
187,Tambo,-14.8,-73.9167,39.63,90,100,2.01,PE,light rain
188,Bubaque,11.2833,-15.8333,76.64,83,0,13.85,GW,clear sky
189,Salalah,17.0151,54.0924,86.0,8,0,10.36,OM,clear sky
190,Durban,-29.8579,31.0292,69.8,88,0,4.61,ZA,clear sky
191,Smithers,54.7804,-127.1743,42.8,56,90,11.5,CA,overcast clouds
